coauthor,_freq
ALAN B KRUEGER,1
ALAN B Krueger,4
ALAN Stockman,1
ALBERT Marcet,1
ALBERTO ALESINA,1
ALBERTO Alesina,1
ALBRECHT RITSCHL,2
ALEJANDRO IZQUIERDO,1
ALESSANDRO MISSALE,1
ALESSIA PACCAGNINI,1
ALEXANDER SP Pfaff,1
ALEXANDRA ENGLISH,1
ALEXANDRE MAS,1
ALEXIA LEE,1
ALIREZA TAHBAZâ€SALEHI,1
ALLAN TIMMERMANN,1
ALLAN Timmermann,1
ALOISIO P DE ARAUJO,1
ALSPAC Study Team,2
ALVARO ZINI,1
ALVIN E Rorn,1
ALVIN E Roth,3
ALVIN F WEBER,1
AM Butler,1
AM Chen,1
AM Dayal,2
AM Esplin,1
AM Evans,1
AM Freeman,1
AM Freund,1
AM Froomkin,2
AM Jaime Castillo,1
AM Keessen,1
AM Lins,1
AM Mayda,3
AM Montoya,1
AM Ni,1
AM Nolan,3
AM Papag,2
AM Parfitt,1
AM Pereira,1
AM Rauth,1
AM Riedl,5
AM Robert Taylor,65
AM Rosen,1
AM Santomero,1
AM Stuart,1
AM SÃ¼nbÃ¼l,2
AM Taylor,3
AM Thacker,1
AM Van der Woude,1
AM Voogd-Hamelink,2
AM Wagner,1
AM van der Woude,4
AMARTYA SEN,2
AMARTYA Sen,7
AMMMtttS MeS,1
AMR Taylor,1
AMSE-BdF Labor Market,1
AN Baldwin,3
AN Clark,1
AN Exton-Smith,1
AN Krueger,1
AN Rosenthal,1
AN Sen,1
AN Solonin,1
ANDREA Boltho,1
ANDREAS Lichter,1
ANDREI SHLEIFER,2
ANDREI Shleifer,1
ANDRES DRENIK,1
ANDREW C PINDER,1
ANDREW Chesher,1
ANDREW E Clark,1
ANDREW MARTIN,2
ANDREW MCCLELLAN,1
ANDREW Oswald,1
ANDREW POSTLEWAITE,2
ANDREW SCHOTTER,1
ANDREW STEPTOE,1
ANDREW TAYLOR,1
ANDREW ZEITLIN,1
ANDREi SHLEiFER,1
ANGELA CM DE OLIVEIRA,1
ANGELA L BAILEY,1
ANHANGâ€“Grafische Darstellungen,1
ANIL K KASHYAP,1
ANN F FRIEDLANDER,1
ANNA Rubinchik,1
ANNE C CASE,1
ANS Champions,1
ANS Collaborate,1
ANS Join,1
ANS Staff,1
ANTHONY DM Smith,1
ANTHONY J VENABLES,2
ANTHONY JA WRIGHT,1
ANTHONY Venables,1
ANTOINE dâ€™AUTUME,1
ANURAAG Chigurupati,1
AO Krueger,14
AOJ Heyma,1
AP AraÃºjo,1
AP Bartel,1
AP Buunk,1
AP Dawid,1
AP Farrell,1
AP Hall,1
AP Lieberman,1
AP Sage,1
AP van Veen,3
AQ Zhang,1
AR Ballegooij,2
AR Bergstrom,1
AR Bhuiyan,1
AR Cardoso,2
AR Deykin,2
AR Ezzat,1
AR Fooks,1
AR Gallant,2
AR Green,1
AR Khan,2
AR Kostol,1
AR Lamorgese,1
AR Lee,1
AR Nobay,1
AR Prasad,1
AR Rubin,1
AR Sen,2
AR Shaghaghi,1
AR Stephen,1
AR Wagner,1
AR Yang,1
ARAGHI MANSOUR KHALILI,1
ARE Sinclair,1
ARIJIT MUKHERJEE,1
ARMM Ali,1
ARNOLD C HARBERGER,1
ARTHUR HM ter Hofstede,1
ARTHUR REYNOLDS,1
ARUN AGRAWAL,1
ARUN Agrawal,2
ARUN G CHANDRASEKHAR,1
ARUN G Chandrasekhar,3
ARUN Sen,1
AS Arriaga-Salinas,1
AS Ball,1
AS Belenky,1
AS Bhalla,1
AS Blinder,1
AS Blinkhorn,1
AS Butler,1
AS BÃ©nÃ©trix,1
AS Duncan,1
AS EDLIN,1
AS Gerber,3
AS Habib,1
AS Hanks,1
AS Kemp,1
AS Kher,1
AS Li,1
AS Macdonald,2
AS Masten,1
AS Pinto Barbosa,2
AS Seitenova,1
AS Taffesse,1
ASGER Lunde,2
ASHISH SHENOY,1
ASHOK GUHA,1
ASHTON HAWK,1
ASIM K SEN,1
ASK Li,1
ASM Sohidull Islam,1
ASP Pfaff,1
ASR Murty,1
AT Kalkura,1
AT Moore,1
ATLAS Collaboration,1
ATLAS collaboration,2
ATTILIO DI BATTISTA,1
AUGUSTO LOPEZ-CLAROS,1
AV Bane0ee,1
AV Banerjee,9
AV Blue,1
AV Chari,1
AV Deardorff,3
AV Samsonov,1
AV Sardesai,1
AV Stewart,2
AV Thakor,1
AVNER Greif,1
AW Molvik,1
AW Phillips,1
AW Postlewaite,1
AW Rimoin,1
AW Rosenthal,1
AX Li,1
AY Liu,1
AY Sunga,1
AZ Li,2
AZ Yang,1
AZM Iftekhar Hussain,1
Aad van der Vaart,1
Aaditya Mattoo,3
Aadne Cappelen,5
Aainaa K Roslee,1
Aakash Mohpal,3
Aakash Shrivastava,2
Aamod V Desai,1
Aamrah Hussain,3
Aan Jaelani,1
Aandrew M Parker,1
Aaron B Flaaen,2
Aaron Berg,1
Aaron Berliner,1
Aaron Bodoh-Creed,1
Aaron Bramson,2
Aaron Chatterji,4
Aaron Cohen,1
